"x.sorted","tp","fp","tn","fn","tpr","tnr","fpr","fnr","name"
0.154325997841057,31,28,69,6,0.837837837837838,0.711340206185567,0.288659793814433,0.162162162162162,"LR"
0.151767542552836,31,29,68,6,0.837837837837838,0.701030927835051,0.298969072164949,0.162162162162162,"LR"
0.149244016658671,32,30,67,5,0.864864864864865,0.690721649484536,0.309278350515464,0.135135135135135,"LR"
0.144300830271866,32,31,66,5,0.864864864864865,0.680412371134021,0.319587628865979,0.135135135135135,"LR"
0.139494524298312,32,36,61,5,0.864864864864865,0.628865979381443,0.371134020618557,0.135135135135135,"LR"
0.134823081539972,33,42,55,4,0.891891891891892,0.56701030927835,0.43298969072165,0.108108108108108,"LR"
0.132537277893435,33,44,53,4,0.891891891891892,0.54639175257732,0.45360824742268,0.108108108108108,"LR"
0.125876263621394,33,47,50,4,0.891891891891892,0.515463917525773,0.484536082474227,0.108108108108108,"LR"
0.123720454182767,34,48,49,3,0.918918918918919,0.505154639175258,0.494845360824742,0.081081081081081,"LR"
0.121596430039014,34,52,45,3,0.918918918918919,0.463917525773196,0.536082474226804,0.081081081081081,"LR"
0.117442561470013,34,62,35,3,0.918918918918919,0.360824742268041,0.639175257731959,0.081081081081081,"LR"
0.113412272584896,35,65,32,2,0.945945945945946,0.329896907216495,0.670103092783505,0.0540540540540541,"LR"
0.109503131034395,35,69,28,2,0.945945945945946,0.288659793814433,0.711340206185567,0.0540540540540541,"LR"
0.105712665396005,36,72,25,1,0.972972972972973,0.257731958762887,0.742268041237113,0.027027027027027,"LR"
0.103861154903543,36,73,24,1,0.972972972972973,0.247422680412371,0.752577319587629,0.027027027027027,"LR"
0.102400646066714,36,74,23,1,0.972972972972973,0.237113402061856,0.762886597938144,0.027027027027027,"LR"
0.102038372711304,36,78,19,1,0.972972972972973,0.195876288659794,0.804123711340206,0.027027027027027,"LR"
0.100244002191183,36,79,18,1,0.972972972972973,0.185567010309278,0.814432989690722,0.027027027027027,"LR"
0.0984777256124584,36,82,15,1,0.972972972972973,0.154639175257732,0.845360824742268,0.027027027027027,"LR"
0.0967392243421162,36,83,14,1,0.972972972972973,0.144329896907216,0.855670103092784,0.027027027027027,"LR"
0.0950281790388563,37,85,12,0,1,0.123711340206186,0.876288659793814,0,"LR"
0.0933442698408214,37,86,11,0,1,0.11340206185567,0.88659793814433,0,"LR"
0.0916871765471009,37,93,4,0,1,0.0412371134020619,0.958762886597938,0,"LR"
0.0884521562196238,37,94,3,0,1,0.0309278350515464,0.969072164948454,0,"LR"
0.0853205561789663,37,96,1,0,1,0.0103092783505155,0.989690721649485,0,"LR"
0.0762422723130342,37,97,0,0,1,0,1,0,"LR"
