"","acc","rmse","f1","sens","spec","fnr","fpr","plr","nlr","best_lambda","FDG_SUV_PT","ADC_PT","FDG_SUV","ADC","FDG_LA","FDG_SA"
"3563",0.529411764705882,0.600762839960155,0.5,0.363636363636364,0.416666666666667,0.636363636363636,0.583333333333333,0.623376623376623,1.52727272727273,0.0671960707882346,0,0,0.175526278645271,0,0,0.215216156105952
"3564",0.764705882352941,0.412557961817138,0.75,0.666666666666667,0.7,0.333333333333333,0.3,2.22222222222222,0.476190476190476,0.0671960707882346,0,-0.00155751347053469,0.10991165203989,0,0,0.188779038632185
"3565",0.588235294117647,0.462844218244179,0.631578947368421,0.6,0.5,0.4,0.5,1.2,0.8,0.0671960707882346,0,0,0.0745019866061634,0,0,0.207176798166158
"3566",0.705882352941177,0.409252326603627,0.444444444444444,0.666666666666667,0.909090909090909,0.333333333333333,0.0909090909090909,7.33333333333333,0.366666666666667,0.0671960707882346,-0.00883057882223863,0,0.200579870873382,0,0,0.0206991083683212
"3567",0.647058823529412,0.446413148359444,0.4,0.4,0.75,0.6,0.25,1.6,0.8,0.0671960707882346,0,0,0.21240526436489,0,0,0.0566523077084518
"3568",0.764705882352941,0.437138264428601,0.75,0.857142857142857,0.875,0.142857142857143,0.125,6.85714285714286,0.163265306122449,0.0671960707882346,0,0,0.0982836089503471,-0.000649623915720439,0,0.188602368064113
"3569",0.705882352941177,0.436073589040845,0.615384615384615,0.5,0.666666666666667,0.5,0.333333333333333,1.5,0.75,0.0671960707882346,0,0,0.112498450791421,0,0,0.148014501959618
"3570",0.882352941176471,0.403949264258259,0.875,1,1,0,0,Inf,0,0.0671960707882346,0,0,0.0421006316360279,-0.00075752720108452,0,0.222950983875405
"3571",0.764705882352941,0.390976703721043,0.666666666666667,0.8,0.9,0.2,0.1,8,0.222222222222222,0.0671960707882346,0,0,0.129631068660488,0,0,0.219975647811054
"3572",0.647058823529412,0.42363501335896,0.4,0.5,0.818181818181818,0.5,0.181818181818182,2.75,0.611111111111111,0.0671960707882346,0,0,0.208008939516962,0,0,0.0913286697438094
"3573",0.764705882352941,0.435772260829775,0.714285714285714,0.625,0.727272727272727,0.375,0.272727272727273,2.29166666666667,0.515625,0.0671960707882346,0,0,0.0380933856529789,0,0,0.218299361700553
"3574",0.705882352941177,0.418922519980987,0.545454545454545,0.5,0.75,0.5,0.25,2,0.666666666666667,0.0671960707882346,0,-0.000376222560859115,0.14614093944635,0,0,0.171958874862671
"3575",0.647058823529412,0.398352796039512,0.571428571428571,0.8,0.875,0.2,0.125,6.4,0.228571428571429,0.0671960707882346,0,0,0.127287415189389,0,0,0.157610031776638
"3576",0.823529411764706,0.399140500824074,0.727272727272727,0.666666666666667,0.833333333333333,0.333333333333333,0.166666666666667,4,0.4,0.0671960707882346,0,0,0.0947237703199112,0,0.0396349255524601,0.0950234041430478
"3577",0.588235294117647,0.461042007908284,0.631578947368421,0.75,0.666666666666667,0.25,0.333333333333333,2.25,0.375,0.0671960707882346,0,-0.00236663056777708,0.0504800737567959,0,0,0.294207889097932
"3578",0.823529411764706,0.435079929762926,0.8,0.75,0.8,0.25,0.2,3.75,0.3125,0.0671960707882346,0,0,0.103282619632776,-0.0019476342694204,0,0.11839572430476
"3579",0.764705882352941,0.424117208370054,0.714285714285714,0.625,0.727272727272727,0.375,0.272727272727273,2.29166666666667,0.515625,0.0671960707882346,0,0,0.0683644948762364,0,0,0.164593812167356
"3580",0.823529411764706,0.40798141390997,0.727272727272727,0.8,0.909090909090909,0.2,0.0909090909090909,8.8,0.22,0.0671960707882346,0,0,0.0952862714454875,0,0,0.184760152861921
"3581",0.588235294117647,0.494927421178199,0.533333333333333,0.444444444444444,0.545454545454545,0.555555555555556,0.454545454545455,0.977777777777778,1.01851851851852,0.0671960707882346,0,0,0.180468476895907,-0.000103826541900952,0,0.128220465552253
"3582",0.764705882352941,0.413943550439294,0.666666666666667,0.666666666666667,0.818181818181818,0.333333333333333,0.181818181818182,3.66666666666667,0.407407407407407,0.0671960707882346,0,0,0.108814628168743,-0.00133775126736438,0,0.166004801811973
"3583",0.588235294117647,0.453977214793072,0.461538461538462,0.6,0.777777777777778,0.4,0.222222222222222,2.7,0.514285714285714,0.0671960707882346,0,-0.00024643363521052,0.137196402912683,0,0,0.188673884508182
"3584",0.647058823529412,0.508864990356836,0.625,0.555555555555556,0.6,0.444444444444444,0.4,1.38888888888889,0.740740740740741,0.0671960707882346,0,0,0.0772533970415859,-0.00343957211201056,0,0.179595413870019
"3585",0.647058823529412,0.447366292985016,0.4,0.285714285714286,0.642857142857143,0.714285714285714,0.357142857142857,0.8,1.11111111111111,0.0671960707882346,0,0,0.0849547734874932,0,0.0417146154602274,0.155733439184762
"3586",0.705882352941177,0.358165091061828,0.615384615384615,0.666666666666667,0.8,0.333333333333333,0.2,3.33333333333333,0.416666666666667,0.0671960707882346,0,0,0.0876973732751421,-1.7066696986884e-05,0.0126418138127105,0.181746597026215
"3587",0.647058823529412,0.474134782504698,0.5,0.5,0.727272727272727,0.5,0.272727272727273,1.83333333333333,0.6875,0.0671960707882346,0,0,0.317466590357745,-5.29086258843948e-06,0,0
"3588",0.764705882352941,0.361572855091113,0.714285714285714,0.833333333333333,0.888888888888889,0.166666666666667,0.111111111111111,7.5,0.1875,0.0671960707882346,0,-1.36759524910417e-06,0.109068221316637,-0.000181125559586564,0,0.146496280720889
"3589",0.588235294117647,0.424357699608042,0.588235294117647,1,1,0,0,Inf,0,0.0671960707882346,0,0,0.0569465166495059,0,0,0.27774499449119
"3590",0.882352941176471,0.365035488104993,0.875,1,1,0,0,Inf,0,0.0671960707882346,0,0,0.0516128474835535,-9.81840499438975e-05,0,0.156466657844523
"3591",0.764705882352941,0.382451460664856,0.75,0.75,0.777777777777778,0.25,0.222222222222222,3.375,0.321428571428571,0.0671960707882346,0,0,0.0696593679517273,0,0,0.229100070976166
"3592",0.588235294117647,0.474362419060478,0.461538461538462,0.375,0.583333333333333,0.625,0.416666666666667,0.9,1.07142857142857,0.0671960707882346,0,0,0.100470681180946,0,0,0.267637304830326
"3593",0.647058823529412,0.480723409649137,0.625,0.833333333333333,0.857142857142857,0.166666666666667,0.142857142857143,5.83333333333333,0.194444444444444,0.0671960707882346,0,0,0.249729582067781,0,0,0
"3594",0.764705882352941,0.44564571296828,0.666666666666667,0.571428571428571,0.75,0.428571428571429,0.25,2.28571428571429,0.571428571428572,0.0671960707882346,0,0,0.0947909208630831,-0.000559309929410599,0,0.211067237319338
"3595",0.588235294117647,0.460826427062932,0.461538461538462,0.428571428571429,0.636363636363636,0.571428571428571,0.363636363636364,1.17857142857143,0.897959183673469,0.0671960707882346,-0.00189590621536839,0,0.152066074569699,0,0,0.273817045969006
"3596",0.764705882352941,0.398318885743857,0.75,1,1,0,0,Inf,0,0.0671960707882346,0,0,0.0273316307214648,0,0,0.277246047911228
"3597",0.764705882352941,0.404696988297548,0.75,0.666666666666667,0.7,0.333333333333333,0.3,2.22222222222222,0.476190476190476,0.0671960707882346,0,0,0.144509313150333,-7.66016735690137e-05,0,0.182811473428845
"3598",0.529411764705882,0.488783068684625,0.428571428571429,0.75,0.857142857142857,0.25,0.142857142857143,5.25,0.291666666666667,0.0671960707882346,0,0,0.18915610184766,0,0,0.180155489546655
"3599",0.764705882352941,0.389510779248865,0.666666666666667,1,1,0,0,Inf,0,0.0671960707882346,0,-5.62161147117087e-05,0.0750842388798098,0,0,0.18691623096153
"3600",0.823529411764706,0.395837264596877,0.842105263157895,0.888888888888889,0.857142857142857,0.111111111111111,0.142857142857143,6.22222222222222,0.12962962962963,0.0671960707882346,0,0,0.0639147727941533,0,0,0.21632648988744
"3601",0.764705882352941,0.429711473630194,0.6,0.428571428571429,0.714285714285714,0.571428571428571,0.285714285714286,1.5,0.8,0.0671960707882346,0,-0.000460291197893474,0.0936844456484887,-0.000234261121099071,0.0244943380521749,0.146164956350357
"3602",0.823529411764706,0.391322736897789,0.8,0.857142857142857,0.888888888888889,0.142857142857143,0.111111111111111,7.71428571428571,0.160714285714286,0.0671960707882346,0,0,0.124825413606204,0,0,0.167070114047678
"3603",0.705882352941177,0.449662713775165,0.666666666666667,0.625,0.7,0.375,0.3,2.08333333333333,0.535714285714286,0.0671960707882346,0,0,0.177413711401822,-0.0003516018404156,0,0.160241469094738
"3604",0.764705882352941,0.413142964603354,0.714285714285714,0.833333333333333,0.888888888888889,0.166666666666667,0.111111111111111,7.5,0.1875,0.0671960707882346,0,0,0.139964509246579,-0.00101240930247505,0,0.078031465541289
"3605",0.705882352941177,0.44134290530019,0.736842105263158,0.777777777777778,0.714285714285714,0.222222222222222,0.285714285714286,2.72222222222222,0.311111111111111,0.0671960707882346,0,0,0.291595655082337,-0.000245291875723892,0,0
"3606",0.941176470588235,0.35853354975986,0.909090909090909,1,1,0,0,Inf,0,0.0671960707882346,0,0,0.085908939317974,0,0,0.0995920294598746
"3607",0.705882352941177,0.447091494754935,0.666666666666667,0.555555555555556,0.636363636363636,0.444444444444444,0.363636363636364,1.52777777777778,0.698412698412698,0.0671960707882346,0,-0.000157019284608143,0.117084675716458,0,0,0.147294438508878
"3608",0.941176470588235,0.346191741413172,0.923076923076923,0.857142857142857,0.909090909090909,0.142857142857143,0.0909090909090909,9.42857142857143,0.157142857142857,0.0671960707882346,0,0,0.115658294061747,0,0,0.0809080515276123
"3609",0.823529411764706,0.385621009159656,0.769230769230769,0.833333333333333,0.9,0.166666666666667,0.1,8.33333333333334,0.185185185185185,0.0671960707882346,0,0,0.140636247575302,-0.000229477953391902,0,0.0773069834552346
"3610",0.764705882352941,0.394744746466063,0.666666666666667,0.8,0.9,0.2,0.1,8,0.222222222222222,0.0671960707882346,0,0,0.122557873396443,-0.000406199962395647,0,0.225210427405216
"3611",0.941176470588235,0.339624419159792,0.909090909090909,0.833333333333333,0.916666666666667,0.166666666666667,0.0833333333333334,10,0.181818181818182,0.0671960707882346,0,0,0.076040744982046,0,0,0.159491539760643
"3612",0.647058823529412,0.457846441278042,0.666666666666667,0.6,0.555555555555556,0.4,0.444444444444444,1.35,0.72,0.0671960707882346,0,0,0.140104023379552,0,0,0.142597288291497
"3613",0.705882352941177,0.394341963704618,0.545454545454545,0.75,0.9,0.25,0.1,7.5,0.277777777777778,0.0671960707882346,0,-0.000367009876167485,0.10524291848043,0,0,0.171637290852536
"3614",0.647058823529412,0.449583972748891,0.571428571428571,0.5,0.636363636363636,0.5,0.363636363636364,1.375,0.785714285714286,0.0671960707882346,0,-0.00052305957054443,0.121993478946102,0,0,0.16076077760626
"3615",0.705882352941177,0.441874671287318,0.666666666666667,0.714285714285714,0.777777777777778,0.285714285714286,0.222222222222222,3.21428571428571,0.36734693877551,0.0671960707882346,0,0,0.0404913263787718,0,0.0560120212783871,0.297932654307268
"3616",0.647058823529412,0.443797311742191,0.4,0.666666666666667,0.9,0.333333333333333,0.1,6.66666666666667,0.37037037037037,0.0671960707882346,0,0,0.156876704542103,0,0,0.173037941803932
"3617",0.823529411764706,0.403014283248519,0.823529411764706,0.875,0.875,0.125,0.125,7,0.142857142857143,0.0671960707882346,0,0,0.141197289873905,0,0,0.0525923560919524
"3618",0.882352941176471,0.363777473091364,0.875,0.875,0.888888888888889,0.125,0.111111111111111,7.875,0.140625,0.0671960707882346,0,0,0.0689304876937997,0,0.0117650734020377,0.16088628432196
