"name","optimal_cutpoint","AUC_b","AUC_oob","F1_score_b","F1_score_oob","acc_b","acc_oob","sensitivity_b","sensitivity_oob","specificity_b","specificity_oob","cohens_kappa_b","cohens_kappa_oob","TP_b","FP_b","TN_b","FN_b","TP_oob","FP_oob","TN_oob","FN_oob"
"FDG_SUV",9.1,0.864028977431039,0.784615384615385,0.689655172413793,0.454545454545455,0.865671641791045,0.777777777777778,0.540540540540541,0.333333333333333,0.989690721649485,0.948717948717949,0.612093920874879,0.337423312883436,20,1,96,17,5,2,37,10
"FDG_SUV",3.8,0.902479799387016,0.794736842105263,0.775,0.533333333333333,0.865671641791045,0.735849056603774,0.837837837837838,0.533333333333333,0.876288659793814,0.815789473684211,0.680021225789334,0.349122807017544,31,12,85,6,8,7,31,7
"FDG_SUV",5.2,0.892588464753413,0.836363636363636,0.8,0.538461538461538,0.888059701492537,0.75,0.810810810810811,0.466666666666667,0.917525773195876,0.878787878787879,0.722298977618127,0.372549019607843,30,8,89,7,7,4,29,8
"FDG_SUV",10.9,0.878239063806074,0.866386554621849,0.733333333333333,0.111111111111111,0.880597014925373,0.692307692307692,0.594594594594595,0.0588235294117647,0.989690721649485,1,0.661722940990849,0.0776053215077602,22,1,96,15,1,0,35,16
"FDG_SUV",5.2,0.825996099191975,0.913186813186813,0.666666666666667,0.64,0.835820895522388,0.8125,0.594594594594595,0.615384615384615,0.927835051546392,0.885714285714286,0.55986861749776,0.513513513513513,22,7,90,15,8,4,31,5
"FDG_SUV",2.7,0.877681805516857,0.733333333333333,0.681318681318681,0.518518518518518,0.783582089552239,0.717391304347826,0.837837837837838,0.7,0.762886597938144,0.722222222222222,0.525981946816297,0.337028824833703,31,23,74,6,7,10,26,3
"FDG_SUV",5.2,0.841460016717749,0.927407407407407,0.694444444444444,0.689655172413793,0.835820895522388,0.85,0.675675675675676,0.666666666666667,0.896907216494845,0.911111111111111,0.582317937092661,0.590909090909091,25,10,87,12,10,4,41,5
"FDG_SUV",5.2,0.8006408470326,0.928921568627451,0.657534246575342,0.666666666666667,0.813432835820896,0.826086956521739,0.648648648648649,0.666666666666667,0.876288659793814,0.882352941176471,0.52936218038775,0.549019607843137,24,12,85,13,8,4,30,4
"FDG_SUV",2.9,0.828364446921148,0.837044534412955,0.7,0.571428571428571,0.82089552238806,0.705882352941177,0.756756756756757,0.769230769230769,0.845360824742268,0.684210526315789,0.573361634385779,0.369332234130256,28,15,82,9,10,12,26,3
"FDG_SUV",5.2,0.910420730008359,0.745054945054945,0.773333333333333,0.434782608695652,0.873134328358209,0.729166666666667,0.783783783783784,0.384615384615385,0.907216494845361,0.857142857142857,0.685272174633877,0.260663507109005,29,9,88,8,5,5,30,8
"FDG_STAR",0.00640394088669951,0.854808590102708,0.79047619047619,0.756756756756757,0.608695652173913,0.814432989690722,0.75,0.823529411764706,0.466666666666667,0.80952380952381,0.952380952380952,0.608344549125168,0.448979591836735,28,12,51,6,7,1,20,8
"FDG_STAR",0.00645561762880199,0.861811391223156,0.829861111111111,0.735294117647059,0.636363636363636,0.814432989690722,0.777777777777778,0.735294117647059,0.583333333333333,0.857142857142857,0.875,0.592436974789916,0.478260869565218,25,9,54,9,7,3,21,5
"FDG_STAR",0.00477346278317152,0.919234360410831,0.704166666666667,0.873239436619718,0.551724137931034,0.907216494845361,0.59375,0.911764705882353,0.666666666666667,0.904761904761905,0.55,0.800274536719286,0.2,31,6,57,3,8,9,11,4
"FDG_STAR",0.00477346278317152,0.80952380952381,0.853333333333333,0.732394366197183,0.692307692307692,0.804123711340206,0.783783783783784,0.764705882352941,0.75,0.825396825396825,0.8,0.578357355296271,0.527156549520767,26,11,52,8,9,5,20,3
"FDG_STAR",0.00927394752898109,0.88328664799253,0.753846153846154,0.830769230769231,0.25,0.88659793814433,0.684210526315789,0.794117647058823,0.153846153846154,0.936507936507937,0.96,0.745770788658566,0.139622641509434,27,4,59,7,2,1,24,11
"FDG_STAR",0.00477346278317152,0.818394024276377,0.87,0.736842105263158,0.761904761904762,0.793814432989691,0.833333333333333,0.823529411764706,0.8,0.777777777777778,0.85,0.570416297608503,0.634146341463415,28,14,49,6,8,3,17,2
"FDG_STAR",0.00930434782608696,0.824463118580766,0.838095238095238,0.703703703703704,0.5,0.835051546391753,0.741935483870968,0.558823529411765,0.4,0.984126984126984,0.904761904761905,0.599793708096957,0.340425531914894,19,1,62,15,4,2,19,6
"FDG_STAR",0.00486111111111111,0.782913165266106,0.889855072463768,0.676470588235294,0.75,0.77319587628866,0.789473684210526,0.676470588235294,0.8,0.825396825396825,0.782608695652174,0.50186741363212,0.569405099150142,23,11,52,11,12,5,18,3
"FDG_STAR",0.00569210866752911,0.801120448179272,0.903846153846154,0.712328767123288,0.75,0.783505154639175,0.842105263157895,0.764705882352941,0.75,0.793650793650794,0.884615384615385,0.540076766764507,0.634615384615384,26,13,50,8,9,3,23,3
"FDG_STAR",0.00569210866752911,0.841269841269841,0.865942028985507,0.767123287671233,0.666666666666667,0.824742268041237,0.771428571428571,0.823529411764706,0.666666666666667,0.825396825396825,0.826086956521739,0.627681192142696,0.492753623188406,28,11,52,6,8,4,19,4
"FDG_STAR",0.00486111111111111,0.827264239028945,0.847826086956522,0.743589743589744,0.695652173913043,0.793814432989691,0.8,0.852941176470588,0.666666666666667,0.761904761904762,0.869565217391304,0.575863576738085,0.547134935304991,29,15,48,5,8,3,20,4
"FDG_STAR",0.00477346278317152,0.8062558356676,0.88695652173913,0.73972602739726,0.8,0.804123711340206,0.842105263157895,0.794117647058823,0.8,0.80952380952381,0.869565217391304,0.583878979453601,0.669565217391304,27,12,51,7,12,3,20,3
"FDG_STAR",0.00477346278317152,0.888888888888889,0.810276679841897,0.773333333333333,0.761904761904762,0.824742268041237,0.852941176470588,0.852941176470588,0.727272727272727,0.80952380952381,0.91304347826087,0.632493871183419,0.65587044534413,29,12,51,5,8,2,21,3
"FDG_STAR",0.00927394752898109,0.850140056022409,0.8,0.771929824561403,0.571428571428571,0.865979381443299,0.763157894736842,0.647058823529412,0.461538461538462,0.984126984126984,0.92,0.681967213114754,0.420338983050848,22,1,62,12,6,2,23,7
"FDG_STAR",0.00486111111111111,0.835200746965453,0.923076923076923,0.73972602739726,0.727272727272727,0.804123711340206,0.828571428571429,0.794117647058823,0.888888888888889,0.80952380952381,0.807692307692308,0.583878979453601,0.608208955223881,27,12,51,7,8,5,21,1
"FDG_STAR",0.00569210866752911,0.853874883286648,0.737012987012987,0.72972972972973,0.545454545454545,0.793814432989691,0.743589743589744,0.794117647058823,0.545454545454545,0.793650793650794,0.821428571428571,0.564827276805742,0.366883116883117,27,13,50,7,6,5,23,5
"FDG_STAR",0.00930434782608696,0.780578898225957,0.946428571428571,0.724137931034483,0.526315789473684,0.835051546391753,0.735294117647059,0.617647058823529,0.357142857142857,0.952380952380952,1,0.611417125688533,0.395256916996048,21,3,60,13,5,0,20,9
