"","acc","rmse","f1","auc","sens","spec","fnr","fpr","plr","nlr"
"2162",0.75,0.411302084109201,0.444444444444444,0.71505376344086,0.444444444444444,0.838709677419355,0.555555555555556,0.161290322580645,2.75555555555556,0.662393162393162
"2163",0.875,0.357898219334593,0.736842105263158,0.852664576802508,0.636363636363636,0.96551724137931,0.363636363636364,0.0344827586206896,18.4545454545455,0.376623376623377
"2164",0.9,0.303686851859757,0.666666666666667,0.838235294117647,0.666666666666667,0.941176470588235,0.333333333333333,0.0588235294117647,11.3333333333333,0.354166666666667
"2165",0.8,0.375038004984798,0.428571428571429,0.772401433691756,0.333333333333333,0.935483870967742,0.666666666666667,0.0645161290322581,5.16666666666666,0.71264367816092
"2166",0.875,0.331469634256605,0.761904761904762,0.94,0.8,0.9,0.2,0.1,8,0.222222222222222
"2167",0.875,0.368681063651015,0.761904761904762,0.870535714285714,0.666666666666667,0.964285714285714,0.333333333333333,0.0357142857142857,18.6666666666667,0.345679012345679
"2168",0.725,0.394049459053695,0.56,0.783699059561129,0.636363636363636,0.758620689655172,0.363636363636364,0.241379310344828,2.63636363636364,0.479338842975207
"2169",0.9,0.333455718113583,0.8,0.890282131661442,0.727272727272727,0.96551724137931,0.272727272727273,0.0344827586206896,21.0909090909091,0.282467532467532
"2170",0.825,0.352716886807835,0.695652173913043,0.80952380952381,0.666666666666667,0.892857142857143,0.333333333333333,0.107142857142857,6.22222222222222,0.373333333333333
"2171",0.8,0.3853976586099,0.666666666666667,0.816964285714286,0.666666666666667,0.857142857142857,0.333333333333333,0.142857142857143,4.66666666666667,0.388888888888889
"2172",0.775,0.390418946603564,0.608695652173913,0.830721003134796,0.636363636363636,0.827586206896552,0.363636363636364,0.172413793103448,3.69090909090909,0.439393939393939
"2173",0.75,0.392728022869196,0.444444444444444,0.788530465949821,0.444444444444444,0.838709677419355,0.555555555555556,0.161290322580645,2.75555555555556,0.662393162393162
"2174",0.7,0.455358319296631,0.25,0.67921146953405,0.222222222222222,0.838709677419355,0.777777777777778,0.161290322580645,1.37777777777778,0.927350427350427
